,Unnamed: 0,Clock,PhaseID,PhaseTime,PhaseName,RucksNo,PosGainline,NegGainline,Linebreak,LineBreakPrevPhase,rdNear,rdRuck,rdFar,rdMiddle,rsSlow,rsMedium,rsFast,KickTotal,KickedInfield,KickedtoTouch,turnoverTot,turnoverKick,turnoverContact,fromTurnover,penFK,penContact,Tries,TryTotal,PenTotal
299,299,20.266609591578323,300,0.5254107117833371,BALL IN PLAY,2.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
312,312,21.774214451578327,313,0.44601881761666107,BALL IN PLAY,2.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,325,23.03157864081166,326,1.0053713354166691,BALL IN PLAY,7.0,0.0,0.0,0.0,,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
343,343,25.794774357288322,344,1.7053618188666704,BALL IN PLAY,13.0,0.0,0.0,0.0,,10.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,366,26.76879792220499,367,0.7180229347166645,BALL IN PLAY,3.0,0.0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
383,383,28.606810830204978,384,1.5614520304333368,BALL IN PLAY,8.0,0.0,0.0,1.0,RD - Near,4.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
414,414,41.43826461527165,415,0.4386640247166653,BALL IN PLAY,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,427,42.008959581288316,428,0.3536428571333303,BALL IN PLAY,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
437,437,42.75366889923832,438,0.3022584497166747,BALL IN PLAY,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,446,43.82107495937165,447,0.2760246067000054,BALL IN PLAY,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,452,45.63643004008832,453,1.3869160045500024,BALL IN PLAY,9.0,0.0,0.0,0.0,,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
480,480,46.77911478892164,481,0.7191580745166561,BALL IN PLAY,4.0,0.0,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,489,47.376469311988316,490,0.3387389712833482,BALL IN PLAY,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,498,47.97251050225497,499,0.3722823299499965,BALL IN PLAY,2.0,0.0,0.0,1.0,RD - Middle,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512,512,49.29611274617164,513,0.10070763544999296,BALL IN PLAY,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,520,50.35346720500497,521,0.7731208726166585,BALL IN PLAY,7.0,0.0,0.0,0.0,,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536,536,51.44815557502164,537,0.929243540416664,BALL IN PLAY,4.0,0.0,0.0,1.0,From Kick Reception,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
559,559,52.76461884212164,560,0.6711412362500084,BALL IN PLAY,2.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
574,574,53.55531935777164,575,0.3895569345999803,BALL IN PLAY,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
580,580,54.84135173222163,581,1.0375320806166712,BALL IN PLAY,10.0,0.0,0.0,0.0,,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
599,599,55.872042001854965,600,0.8310851265833179,BALL IN PLAY,5.0,0.0,0.0,0.0,,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,622,56.10085751774661,623,0.18164039968331736,BALL IN PLAY,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
628,628,56.835547441363275,629,0.4913519009833465,BALL IN PLAY,2.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
643,643,58.02691000807996,644,0.9132497457,BALL IN PLAY,5.0,0.0,0.0,1.0,RD - Near,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
662,662,58.58961449612996,663,0.10272423659999674,BALL IN PLAY,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
668,668,59.45365902347996,669,0.6269941524999894,BALL IN PLAY,2.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
679,679,60.40530837657993,680,0.3867041759666563,BALL IN PLAY,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
687,687,62.173331757129965,688,1.5320306821500225,BALL IN PLAY,6.0,0.0,0.0,0.0,,5.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
721,721,63.794867661379975,722,0.8749399768500012,BALL IN PLAY,6.0,0.0,0.0,0.0,,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
742,742,64.62159399179663,743,0.233405935416684,BALL IN PLAY,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
749,749,68.6342881222633,750,3.7403627473333216,BALL IN PLAY,27.0,0.0,0.0,1.0,From Kick Reception,21.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
802,802,70.16361996082998,803,1.4907126879666637,BALL IN PLAY,12.0,0.0,0.0,0.0,,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823,823,0.2519322275666667,6,0.1560212273833333,BALL IN PLAY,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829,829,1.3711820201499998,12,0.9214896304,BALL IN PLAY,5.0,0.0,0.0,0.0,,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
856,856,2.68808672425,39,0.4746926895333332,BALL IN PLAY,5.0,0.0,0.0,0.0,,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
868,868,4.828842783266667,51,1.6787208355833334,BALL IN PLAY,12.0,0.0,0.0,0.0,,9.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
895,895,6.358957122028332,78,1.2003046545333351,BALL IN PLAY,5.0,0.0,0.0,0.0,,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
926,926,7.000329543011664,109,0.2494309290833332,BALL IN PLAY,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
935,935,8.623623545545001,118,0.7600453305333339,BALL IN PLAY,4.0,0.0,0.0,0.0,,2.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
958,958,9.830981835961666,141,0.9827364719999993,BALL IN PLAY,5.0,0.0,0.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
978,978,10.971664861995,161,1.0210527448333335,BALL IN PLAY,7.0,0.0,0.0,0.0,,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
995,995,11.423969250778336,178,0.0906979700333359,BALL IN PLAY,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1002,1002,13.280024175795006,185,1.2580350672333331,BALL IN PLAY,7.0,0.0,0.0,1.0,RD - Middle,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1027,1027,14.618720766645,210,1.0652446178666644,BALL IN PLAY,4.0,0.0,0.0,1.0,RD - Far,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1052,1052,16.04226022776167,235,1.1646112509499993,BALL IN PLAY,10.0,0.0,0.0,0.0,,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068,1068,16.509616212178337,251,0.15735965668333307,BALL IN PLAY,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1076,1076,17.562936566195,259,0.410692496833331,BALL IN PLAY,2.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1087,1087,19.318945880911667,270,1.385358427850008,BALL IN PLAY,6.0,0.0,0.0,0.0,,3.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1122,1122,20.277653516461672,305,0.3503450076166743,BALL IN PLAY,2.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1133,1133,21.854160459028343,316,1.1600397126166655,BALL IN PLAY,9.0,0.0,0.0,0.0,,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1152,1152,22.052183545211673,335,0.13135641951666344,BALL IN PLAY,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1158,1158,22.906851188911677,341,0.8493568815500012,BALL IN PLAY,2.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1184,1184,23.44553905057835,367,0.3300301234500012,BALL IN PLAY,1.0,0.0,0.0,1.0,From Lineout Short,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1194,1194,23.871184896911675,377,0.1916691310333292,BALL IN PLAY,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1201,1201,24.771875571978327,384,0.6610331104499991,BALL IN PLAY,4.0,0.0,0.0,1.0,From Lineout Short,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1213,1213,25.83049897672833,396,0.8514226103166607,BALL IN PLAY,4.0,0.0,0.0,0.0,,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1236,1236,42.18308529592166,419,0.5800582341499947,BALL IN PLAY,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1257,1257,43.452539435804994,440,0.5706905285833415,BALL IN PLAY,2.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1278,1278,43.65256755552166,461,0.1333614530499858,BALL IN PLAY,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1288,1288,45.775284118155,471,1.4670883456166737,BALL IN PLAY,8.0,0.0,0.0,0.0,,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1307,1307,46.44200473100497,490,0.3534595919333299,BALL IN PLAY,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1321,1321,47.888353743949956,504,0.34285710353333343,BALL IN PLAY,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1327,1327,48.457050690416615,510,0.3267796909499907,BALL IN PLAY,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1345,1345,49.378585896233304,528,0.16554420183332752,BALL IN PLAY,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1351,1351,50.33727463288329,534,0.7441142814499813,BALL IN PLAY,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362,1362,51.45402407831664,545,0.9333578252166604,BALL IN PLAY,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1385,1385,52.15351626431661,568,0.41820516379999617,BALL IN PLAY,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394,1394,52.722878822299954,577,0.3213648356500016,BALL IN PLAY,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,1400,53.20689769584993,583,0.2680247880666684,BALL IN PLAY,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1414,1414,55.61707380316659,597,0.2266086320166636,BALL IN PLAY,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1423,1423,56.18137334693327,606,0.3627866105500033,BALL IN PLAY,1.0,0.0,0.0,1.0,RD - RUCK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1433,1433,57.34939589708328,616,0.8020630272833245,BALL IN PLAY,3.0,0.0,0.0,0.0,,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1450,1450,57.682376070183274,633,0.11818107818334055,BALL IN PLAY,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1456,1456,58.72639705834993,639,0.8413690837333263,BALL IN PLAY,8.0,0.0,0.0,0.0,,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1473,1473,59.56228649854996,656,0.4273745453333362,BALL IN PLAY,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1497,1497,62.84871001490001,680,0.09070551783334224,BALL IN PLAY,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1504,1504,64.94139708491666,687,1.7814563695166612,BALL IN PLAY,12.0,0.0,0.0,0.0,,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1530,1530,65.69510584425502,713,0.34402829950001035,BALL IN PLAY,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539,1539,67.6564067204217,722,1.5080473257333296,BALL IN PLAY,12.0,0.0,0.0,0.0,,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1561,1561,0.8022143270383334,5,0.6872184299166667,BALL IN PLAY,3.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1583,1583,1.284903380171667,27,0.2760379523000001,BALL IN PLAY,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1591,1591,1.9394652918883333,35,0.3574081202833329,BALL IN PLAY,0.0,0.0,0.0,1.0,From Kick Reception,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1606,1606,2.6064269653883327,50,0.3853576870999991,BALL IN PLAY,1.0,0.0,0.0,1.0,From Kick Reception,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1622,1622,3.577153674221667,66,0.6780344696833334,BALL IN PLAY,3.0,0.0,0.0,1.0,RD - Far,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1642,1642,4.035851404688335,86,0.21789923526666755,BALL IN PLAY,2.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1649,1649,4.609185007105,93,0.5640271766833339,BALL IN PLAY,5.0,0.0,0.0,0.0,,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1662,1662,5.287212085938333,106,0.22937023274999999,BALL IN PLAY,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1670,1670,6.110144685638331,114,0.42684183979999796,BALL IN PLAY,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1682,1682,6.8035172724383335,126,0.2640172777166683,BALL IN PLAY,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
